City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,papatowai,-46.5619,169.4708,15.64,47,99,3.78,NZ,1727752234
118,kenai,60.5544,-151.2583,11.75,54,0,3.6,US,1727752235
119,atambua,-9.1061,124.8925,31.37,40,66,0.83,ID,1727752236
120,kotlas,61.2611,46.6556,1.94,89,3,1.93,RU,1727752237
121,diu,20.7141,70.9822,27.97,80,0,1.82,IN,1727752238
122,namdrik,5.5994,168.1028,29.13,74,100,6.31,MH,1727752239
123,weno,7.4515,151.8468,32.97,62,40,2.06,FM,1727752240
124,el haouaria,37.05,11.0144,19.9,64,0,2.84,TN,1727752111
125,kiffa,16.6166,-11.4045,32.04,49,90,5.01,MR,1727752243
126,ceeldheer,3.8488,47.1806,24.5,88,95,3.47,SO,1727752244
127,ambositra,-20.5167,47.25,12.38,95,1,0.41,MG,1727752245
128,nuku'alofa,-21.1333,-175.2,22.89,69,46,8.18,TO,1727752246
129,ca mau,9.1769,105.15,31.82,62,62,3.7,VN,1727752247
130,ronne,55.1009,14.7066,10.95,62,20,7.2,DK,1727752248
131,enoch,37.7733,-113.0244,21.14,33,0,4.12,US,1727752249
132,oranjemund,-28.55,16.4333,10.35,72,0,4.38,NA,1727752251
133,roma,43.2128,-75.4557,17.28,93,0,2.57,US,1727752252
134,valparaiso,-33.0393,-71.6273,11.8,82,75,1.54,CL,1727752196
135,kelibia,36.8476,11.0939,19.97,61,0,2.28,TN,1727752254
136,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,62,75,1.0,RU,1727752255
137,hithadhoo,-0.6,73.0833,28.29,75,21,3.51,MV,1727752256
138,mermoz boabab,14.7065,-17.4758,27.34,81,100,5.19,SN,1727752257
139,sodra sandby,56.5667,16.6167,9.92,80,77,6.82,SE,1727752259
140,malango,-2.9627,119.9001,28.75,50,83,2.38,ID,1727752260
141,sarina,-21.4333,149.2167,30.15,49,5,5.5,AU,1727752261
142,la foa,-21.7108,165.8276,25.82,60,26,5.5,NC,1727752263
143,marsh harbour,26.5412,-77.0636,28.34,77,100,4.23,BS,1727752264
